timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T16:06:14Z,analylit_monitor,0.46%,9.461MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:14Z,analylit_db,0.02%,16.97MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:14Z,analylit_redis,1.78%,3.699MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:14Z,analylit-worker-screening-1,0.16%,20.83MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:14Z,analylit_ollama,9.89%,22.52MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:14Z,analylit-worker-extraction-5,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-analysis-1,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-synthesis-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-rq-dashboard-1,26.19%,19.64MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-screening-2,0.05%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-import-1,0.05%,22.03MiB / 4GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-analysis-5,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-extraction-2,0.05%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-synthesis-1,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-extraction-1,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-analysis-6,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-extraction-6,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-analysis-2,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-extraction-3,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-analysis-4,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-analysis-3,9.77%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:15Z,analylit-worker-extraction-4,13.72%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-rq-dashboard-1,0.01%,19.65MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-analysis-1,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-synthesis-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit_ollama,0.00%,26.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-extraction-5,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit_redis,0.34%,3.844MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit_db,3.14%,18.34MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-extraction-2,0.04%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-extraction-1,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-extraction-6,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-analysis-5,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-import-1,0.03%,22.03MiB / 4GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-synthesis-1,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-analysis-6,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-extraction-3,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:06:24Z,analylit-worker-screening-1,0.04%,20.83MiB / 13.65GiB,N/A,N/A
