timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T17:06:59Z,analylit-worker-synthesis-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit_redis,2.77%,3.684MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit_monitor,0.80%,9.906MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit_db,0.03%,16.93MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-import-1,0.05%,20.88MiB / 4GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit_ollama,8.77%,22.37MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-screening-1,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-rq-dashboard-1,0.01%,19.4MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-analysis-5,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-extraction-2,2.59%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-synthesis-2,10.07%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-screening-2,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-extraction-1,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-analysis-6,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-analysis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-extraction-3,0.05%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-analysis-4,13.72%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-extraction-6,15.45%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-analysis-3,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-extraction-5,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-analysis-1,0.04%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T17:06:59Z,analylit-worker-extraction-4,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:07:09Z,analylit-rq-dashboard-1,0.01%,19.66MiB / 13.65GiB,N/A,N/A
2025-10-10T17:07:09Z,analylit-worker-analysis-5,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T17:07:09Z,analylit_redis,0.35%,3.848MiB / 13.65GiB,N/A,N/A
2025-10-10T17:07:09Z,analylit-worker-synthesis-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T17:07:09Z,analylit_monitor,0.46%,11.14MiB / 13.65GiB,N/A,N/A
2025-10-10T17:07:09Z,analylit-worker-screening-1,0.04%,22.02MiB / 13.65GiB,N/A,N/A
